"creator","lastname","gender","title","year","notes_general","scan identifiers (internetarchive or google books)","best_ocr_estimate_identifier","best_ocr_estimate_edition_notes","incomplete"
"CATHERINE GRACE FRANCES GORE","GORE","F","Mrs. Armytage",1836,,"mrsarmytageorfem01gore mrsarmytageorfem02gore mrsarmytageorfem03gore","mrsarmytageorfem01gore mrsarmytageorfem02gore mrsarmytageorfem03gore","in 3 volumes; somewhat low ocr",
"CATHERINE GRACE FRANCES GORE","GORE","F","Stokeshill Place",1837,,"manofbusinessors00gorerich stokeshill_place_gore_v1_of_3_kqfYpfTH-osC_google_epub stokeshill_place_gore_v2_of_3_0LVgSP6i_ZwC_google_epub","stokeshill_place_gore_v1_of_3_kqfYpfTH-osC_google_epub stokeshill_place_gore_v2_of_3_0LVgSP6i_ZwC_google_epub","in 3 volumes, 3rd volume MISSING; manofbusinessors00gorerich entire text version ocr quality low manofbusinessors00gorerich ","TRUE"
"CATHERINE GRACE FRANCES GORE","GORE","F","Memoirs of a Peeress",1837,,"memoirsapeeress00goregoo memoirs_of_a_peeress_gore_v1_of_3_tkoEAAAAQAAJ_google_epub","memoirs_of_a_peeress_gore_v1_of_3_tkoEAAAAQAAJ_google_epub","in 3 volumes, 2nd and 3rd MISSING","TRUE"
"CATHERINE GRACE FRANCES GORE","GORE","F","The Heir of Selwood",1838,,"heirofselwoodort01gore heirofselwoodort02gore heirofselwoodort03gore","heirofselwoodort01gore heirofselwoodort02gore heirofselwoodort03gore","in 3 volumes",
"CATHERINE GRACE FRANCES GORE","GORE","F","The Cabinet Minister",1839,,"cabinetminister00frangoog cabinetminister01frangoog cabinetminister02frangoog the_cabinet_minister_gore_v1_of_3_K69xbo_6hU4C_google_epub the_cabinet_minister_gore_v2_of_3_pMp8AuBukZ8C_google_epub the_cabinet_minister_gore_v3_of_3_E2-0VWt4PYwC_google_epub","the_cabinet_minister_gore_v1_of_3_K69xbo_6hU4C_google_epub the_cabinet_minister_gore_v2_of_3_pMp8AuBukZ8C_google_epub the_cabinet_minister_gore_v3_of_3_E2-0VWt4PYwC_google_epub","in 3 volumes",
"CATHERINE GRACE FRANCES GORE","GORE","F","Preferment, or My Uncle the Earl",1840,,"prefermentormyun01gore prefermentormyun02gore prefermentormyun03gore prefermentormyu00goregoog prefermentormyu01goregoog preferment_gore_ML4BAAAAQAAJ_google_epub","preferment_gore_ML4BAAAAQAAJ_google_epub","entire text",
"CATHERINE GRACE FRANCES GORE","GORE","F","The Dowager",1840,,"dowagerornewscho03gore dowagerornewscho02gore dowager00goregoog dowagerornewscho01gore the_dowager_gore_w70BAAAAQAAJ_google_epub","the_dowager_gore_w70BAAAAQAAJ_google_epub","entire text",
"CATHERINE GRACE FRANCES GORE","GORE","F","Greville",1841,,"grevilleorseason01gore grevilleorseason02gore grevilleorseason03gore greville_gore_v2_of_3_vi3QAAAAMAAJ_google_epub","grevilleorseason01gore grevilleorseason02gore grevilleorseason03gore","in 3 volumes; narrow text need to remove hyphenation – see if I can get close to google OCR accuracy",
"CATHERINE GRACE FRANCES GORE","GORE","F","Cecil, or the Adventures of a Coxcomb",1841,,"ceciloradventure00goreuoft ceciloradventure03gore ceciloradventure01gore ceciloradventure02gore ceciloradventur00cecigoog ceciloradventur00goregoog ceciloradventur00frangoog cecil_gore_uh0OAAAAYAAJ_google_epub","ceciloradventure00goreuoft","entire text; remove hyphenation from internet archive version see if it approaches google in rough quality cecil_gore_uh0OAAAAYAAJ_google_epub",
"CATHERINE GRACE FRANCES GORE","GORE","F","Cecil, A Peer",1841,,"cecilpeersequelt02gore cecilpeersequelt01gore cecilpeersequelt03gore ormingtonorceci00goregoog cecilapeerasequ00frangoog cecilapeerasequ00edengoog cecilapeerasequ00unkngoog cecil_a_peer_gore_v1of2_nFkRAAAAYAAJ_google_epub","cecilpeersequelt01gore cecilpeersequelt02gore cecilpeersequelt03gore","in 3 volumes; google version of v3 for comparison after I remove hyphenation cecil_a_peer_gore_v1of2_nFkRAAAAYAAJ_google_epub",
"THEODORE EDWARD HOOK","HOOK","M","Sayings and Doings, 1st Series: Danvers; Friend of the Family; Merton",1824,,"sayingsanddoing08hookgoog sayings_and_doings_first_series_hook_HyggAAAAMAAJ_google_epub","sayings_and_doings_first_series_hook_HyggAAAAMAAJ_google_epub","entire text, revised edition",
"THEODORE EDWARD HOOK","HOOK","M","Sayings and Doings, 2nd Series: The Sutherlands; The Man of Many Friends; Doubts and Fears; Passion and Principle",1825,,"sayingsdoingsors02hook sayingsanddoings03hookuoft sayingsanddoings02hookuoft sayingsanddoings01hookuoft sayingsanddoings03hook sayingsanddoing02hookgoog sayingsanddoing13hookgoog sayings_and_doings_second_series_hook_FzUgAAAAMAAJ_google_epub","sayings_and_doings_second_series_hook_FzUgAAAAMAAJ_google_epub","entire text, revised edition",
"THEODORE EDWARD HOOK","HOOK","M","Sayings and Doings, 3rd Series: Cousin William, or the Fatal Attachment; Gervase Skinner",1828,,"sayings_and_doings_third_series_hook_vol1of3_CNgNAAAAQAAJ_google_epub sayingsanddoings02hook sayings_and_doings_third_series_hook_vol3of3_Qv40AAAAMAAJ_google_epub","sayings_and_doings_third_series_hook_vol1of3_CNgNAAAAQAAJ_google_epub sayingsanddoings02hook sayings_and_doings_third_series_hook_vol3of3_Qv40AAAAMAAJ_google_epub","in 3 volumes",
"THEODORE EDWARD HOOK","HOOK","M","Maxwell",1830,,"maxwell01hook maxwell02hook maxwell03hook maxwellh00hookuoft maxwell04hookgoog maxwell01hookgoog maxwell02hookgoog maxwell00hookgoog maxwell03hookgoog","maxwellh00hookuoft","entire text",
"THEODORE EDWARD HOOK","HOOK","M","The Parson's Daughter",1833,,"parsonsdaughter00hookuoft parsonsdaughter01hook parsonsdaughter00hook parsonsdaughter02hookgoog parsonsdaughter00hookgoog parsonsdaughter01hookgoog parsonsdaughter02hook parsonsdaughter03hook","parsonsdaughter00hookuoft","entire text",
"THEODORE EDWARD HOOK","HOOK","M","Love and Pride",1833,,"widowandmarquess00hookuoft loveandpride00hookgoog lovepride01hook lovepride02hook lovepride03hook","widowandmarquess00hookuoft","entire text",
"THEODORE EDWARD HOOK","HOOK","M","Gilbert Gurney",1836,,"gilbertgurney00hookuoft gilbertgurney00hookrich gilbertgurney00hookgoog gilbertgurney01hook gilbertgurney02hook gilbertgurney02thook gilbertgurney03hook gilbertgurney03thook gilbertgurney02hookgoog gilbertgurney01hookgoog","gilbertgurney00hookuoft","entire text",
"THEODORE EDWARD HOOK","HOOK","M","Jack Brag",1837,,"jackbrag00hookuoft jackbrag00hookgoog jackbrag01hook jackbrag03hookgoog jackbrag01hookgoog jackbrag02hook jackbrag03hook jackbrag04hookgoog jackbrag02hookgoog","jackbrag00hookuoft","entire text",
"THEODORE EDWARD HOOK","HOOK","M","Gurney Married, a Sequel to Gilbert Gurney",1839,,"gurneymarriedas00hookgoog gurneymarriedas02hookgoog gurneymarriedseq01thook gurneymarriedseq03hook gurneymarriedseq03thook gurneymarriedas01hookgoog gurneymarriedseq01hook gurneymarriedseq02hook gurneymarriedas03hookgoog","gurneymarriedseq01hook gurneymarriedseq02hook gurneymarriedseq03hook","in 3 volumes",
"THEODORE EDWARD HOOK","HOOK","M","All in the Wrong, or Births, Deaths and Marriages",1839,,"allinwrongorbirt00hookuoft allinwrongorbir00hookgoog birthsdeathsand01hookgoog birthsdeathsand02hookgoog birthsdeathsand03hookgoog birthsdeathsmarr01hook birthsdeathsmarr02hook birthsdeathsmarr03hook allinwrongorbir01hookgoog","allinwrongorbirt00hookuoft","entire text",
"THEODORE EDWARD HOOK","HOOK","M","Fathers and Sons",1840,,"fatherssonsnovel01hook fatherssonsnovel02hook fathersandsonsa00hookgoog fatherssonsnovel03hook","fatherssonsnovel01hook fatherssonsnovel02hook fatherssonsnovel03hook","in 3 volumes",
"THEODORE EDWARD HOOK","HOOK","M","Peregrine Bunce",1842,"finished by another hand","peregrine_bunce_hook_I7YBAAAAQAAJ_google_epub peregrine_bunce_hook_CMRKQIlPZ0YC_google_epub peregrine_bunce_vol3of3_E94VAAAAYAAJ_google_epub","peregrine_bunce_hook_I7YBAAAAQAAJ_google_epub","entire text; Adburgham notes “finished by another hand”",
"LADY CAROLINE LAMB","LAMB","F","Glenarvon ",1816,,"glenarvon01lambc glenarvon02lambc glenarvonbylady00glengoog glenarvon02lamb glenarvon01lamb glenarvon03lamb glenarvon03lambc","glenarvon01lamb glenarvon02lambc glenarvon03lambc","in 3 volumes",
"LADY CAROLINE LAMB","LAMB","F","Graham Hamilton",1820,,"grahamhamilton01lamb grahamhamilton02lamb","grahamhamilton01lamb grahamhamilton02lamb","in 2 volumes",
"LADY CAROLINE LAMB","LAMB","F","Ada Reis",1823,,"adareistale01lambc adareistale02lambc adareistale01lamb adareistale02lamb adareistale03lamb","adareistale01lambc adareistale02lambc","in 2 volumes",
"LETITIA ELIZABETH LANDON","LANDON","F","Romance and Reality",1831,,"romancereality02lell romanceandreali00legoog romanceandreali00lgoog romanceandreali01legoog romanceandreali04landgoog romancereality01lell romancereality03lell romanceandreali03landgoog","romancereality01lell romancereality02lell romancereality03lell","in 3 volumes",
"LETITIA ELIZABETH LANDON","LANDON","F","Francesca Carrara",1834,,"francesccarrara01lelluoft francesccarrara02lelluoft francesccarrara03lelluoft francescacarrara03lell francescacarrara01lell francescacarrara02lell","francescacarrara01lell francescacarrara02lell francescacarrara03lell","in 3 volumes",
"LETITIA ELIZABETH LANDON","LANDON","F","Ethel Churchill",1838,,"ethelchurchillo00lgoog ethelchurchillor01lell ethelchurchillor02lell ethelchurchillor03lell ethelchurchillo01lgoog","ethelchurchillor01lell ethelchurchillor02lell ethelchurchillor03lell","in 3 volumes",
"THOMAS HENRY LISTER","LISTER","M","Granby",1826,,"granbyanovel00listgoog granbynovel01list granbynovel02list granbynovel03list granby_lister_vol1of2_I3UlAAAAMAAJ_google_epub granby_lister_vol2of2_sXUlAAAAMAAJ_google_epub","granby_lister_vol1of2_I3UlAAAAMAAJ_google_epub granby_lister_vol2of2_sXUlAAAAMAAJ_google_epub","in 2 volumes",
"THOMAS HENRY LISTER","LISTER","M","Herbert Lacy",1828,,"herbertlacy00baylgoog herbertlacy03listgoog herbertlacybyau00listgoog herbertlacy03list herbertlacy00listgoog herbertlacy01listgoog herbertlacy02list herbertlacy02listgoog herbertlacy01list herbert_lacy_lister_aXgWPeqjyzkC_google_epub herbert_lacy_lister_vol1of2_XnVIJr1WGisC_google_epub herbert_lacy_lister_vol2of2_B22PbHClV7IC_google_epub","herbert_lacy_lister_vol1of2_XnVIJr1WGisC_google_epub herbert_lacy_lister_vol2of2_B22PbHClV7IC_google_epub","in 2 volumes",
"THOMAS HENRY LISTER","LISTER","M","Arlington",1832,,"arlingtonanovel00listgoog arlington_lister_vol1of3_JWYRAAAAYAAJ_google_epub arlington_lister_vol3of3_8WURAAAAYAAJ_google_epub arlington_lister_vol1of2_YHQlAAAAMAAJ_google_epub","arlington_lister_vol1of3_JWYRAAAAYAAJ_google_epub arlington_lister_vol3of3_8WURAAAAYAAJ_google_epub","in 3 volumes, missing 2nd; in 2 volumes MISSING 2nd","TRUE"
"WILLIAM MAGINN","MAGINN","M","Whitehall, or The Days of George IV",1827,,"whitehallordays00magigoog whitehall_mcginn_aC57OEsTiXUC_google_epub","whitehall_mcginn_aC57OEsTiXUC_google_epub","entire text",
"LADY MORGAN (née Sydney Owenson)","MORGAN","F","O'Donnell",1814,,"o_donnell_morgan_LwPYy2TFiVAC_google_epub","o_donnell_morgan_LwPYy2TFiVAC_google_epub","entire text",
"LADY MORGAN (née Sydney Owenson)","MORGAN","F","Florence Macarthy",1818,,"florence_macarthy_morgan_vol4of4_2nd_ed_fjVLAAAAIAAJ_google_epub florence_macarthy_morgan_vol3of4_2nd_ed_pTRLAAAAIAAJ_google_epub florence_macarthy_morgan_vol1of4_1st_ed_Uyc1AAAAMAAJ_google_epub florence_macarthy_morgan_vol1of4_1st_ed_QDRLAAAAIAAJ_google_epub florence_macarthy_morgan_vol2of4_2nd_ed_QTRLAAAAIAAJ_google_epub florencemacarth00unkngoog florencemacarth01morggoog florencemacarth04sydgoog florencemacarthy01morga florencemacarthy02morga florencemacarthy04morga florencemacarthya01morga florencemacarthya03morga florencemacarthya04morga florencemacarth02morggoog florencemacarth00sydgoog florencemacarth03sydgoog florencemacarth00morggoog florencemacarth01sydgoog florencemacarth02sydgoog aflorencemacarthy03morg","florence_macarthy_morgan_vol1of4_1st_ed_QDRLAAAAIAAJ_google_epub florence_macarthy_morgan_vol2of4_2nd_ed_QTRLAAAAIAAJ_google_epub florence_macarthy_morgan_vol3of4_2nd_ed_pTRLAAAAIAAJ_google_epub florence_macarthy_morgan_vol4of4_2nd_ed_fjVLAAAAIAAJ_google_epub","in 4 volumes, mixed editions **NOTE** second edition published a year later",
